1,-4136.232576536948,6.0667110256197345,1,0.02
1,-4131.735239604738,6.194579038389927,0,0.0
2,-4169.598254221555,6.935411823792083,3,0.06
3,-4203.58558117224,7.28411754002828,1,0.02
4,-4198.747757739625,7.258544167622137,7,0.14
5,-4183.5084560038085,7.709339565408151,1,0.02
6,-4185.4539859698125,6.997894331469102,9,0.18
7,-4175.437272947611,6.7368323078208325,5,0.1
8,-4232.725476014929,6.922286929704283,10,0.2
9,-4213.34998045354,7.302365779371447,14,0.28
10,-4171.373400723342,6.72539660085908,3,0.06
11,-4157.386606390008,6.294734885979591,1,0.02
12,-4212.922867793898,7.1047850034234115,7,0.14
13,-4163.796592541977,6.664388993937877,2,0.04
14,-4164.047692548591,6.628305220324011,0,0.0
15,-4184.126681455429,7.062955924175963,3,0.06
16,-4261.307335581259,6.739519806488857,2,0.04
17,-4219.3738061282675,6.7475270717934475,4,0.08
18,-4171.924687882207,6.836550250572917,0,0.0
19,-4271.041249353261,7.571768410397622,6,0.12
20,-4197.1394748132725,7.074104999238592,5,0.1
21,-4164.9379510614035,7.006024380442023,0,0.0
22,-4181.689211147755,6.319404601677145,2,0.04
23,-4402.93737847601,9.568663640951236,12,0.24
24,-4278.977965304037,6.790378939904223,1,0.02
25,-4271.82916695195,7.780187383877488,12,0.24
26,-4200.390306091693,6.983134021247029,8,0.16
27,-4252.953964874941,6.827017337488559,12,0.24
28,-4158.666745708041,6.2125948485071865,3,0.06
29,-4273.134333138387,7.3462970644933545,9,0.18
30,-4185.504638839654,6.356317511205306,3,0.06
31,-4198.910573197044,7.377458904898532,5,0.1
32,-4287.035348465689,8.248566663496371,3,0.06
33,-4269.388175189408,8.515084309090156,11,0.22
34,-4242.94032084448,7.058313415439646,1,0.02
35,-4194.847004769145,7.420561667174886,0,0.0
36,-4208.690526817776,6.129311381046052,1,0.02
37,-4194.512018029921,6.456229201836371,2,0.04
38,-4211.317211602676,6.897412494092265,2,0.04
39,-4246.108417203994,6.786740791155269,9,0.18
40,-4285.121380703527,7.587602980451087,8,0.16
41,-4165.331113578062,6.547336355418338,0,0.0
42,-4209.5294465706365,6.8929634181524575,0,0.0
43,-4133.963218952994,5.97876793519839,0,0.0
44,-4161.737977769863,7.0822746249339215,2,0.04
45,-4148.6111016716,6.286821453646215,3,0.06
46,-4163.552379008174,6.516636632104328,7,0.14
47,-4185.865914120528,6.795808081332041,3,0.06
48,-4167.746500104532,6.9031450459694845,0,0.0
49,-4176.104730098648,6.15393193566053,1,0.02
50,-4167.562357704178,6.44218234324598,0,0.0
51,-4151.342989976843,6.72482675286479,2,0.04
52,-4177.212735173511,6.254979816057157,0,0.0
53,-4358.227807402173,8.566581197852235,5,0.1
54,-4214.018701352039,6.475074644077947,7,0.14
55,-4147.632364153595,6.657362723724746,6,0.12
56,-4325.215035598667,8.077305495895995,9,0.18
57,-4175.346126394282,6.607957374909961,7,0.14
58,-4182.179354628198,5.957842736438575,0,0.0
59,-4305.339975649977,7.655972838135379,5,0.1
60,-4223.839230095165,6.3561384030698695,1,0.02
61,-4237.1241669101,7.716534990617633,7,0.14
62,-4153.09556269456,6.605898269126504,1,0.02
63,-4142.0609983067625,6.279404126009117,5,0.1
64,-4271.889544973095,8.180420718267598,11,0.22
65,-4356.953031747094,7.547722033029009,5,0.1
66,-4147.333792269677,6.810394605298636,0,0.0
67,-4216.57639692171,7.217770301770067,0,0.0
68,-4162.499279559281,6.526163871772429,0,0.0
69,-4396.791746944969,7.89588480504437,10,0.2
70,-4199.90036856505,7.181774224057623,1,0.02
71,-4227.446287387352,7.019800142279325,2,0.04
72,-4182.635609803244,6.755059425648111,2,0.04
73,-4258.7110571490275,7.578836032250089,14,0.28
74,-4149.986280701687,6.245904219944363,1,0.02
75,-4384.271608254426,7.807898582004816,2,0.04
76,-4270.757619834206,8.205887014426736,2,0.04
77,-4163.974239975148,6.700401519169532,7,0.14
78,-4139.676349787159,6.346118131007783,0,0.0
79,-4256.749925412239,6.565644802379617,8,0.16
80,-4308.412280396396,6.959069465758456,7,0.14
